symbol,exchange,mic,name,currency,type,shares_outstanding,last_updated,is_active
ALX,NYSE,XNYS,"Alexander's, Inc. Common Stock",USD,Common Stock,5107290,2025-10-19 04:10:32.963636,1
AM,NYSE,XNYS,Antero Midstream Corporation Common Stock,USD,Common Stock,478411000,2025-10-19 04:10:33.254394,1
AMBC,NYSE,XNYS,"Ambac Financial Group, Inc. Common Stock",USD,Common Stock,46401736,2025-10-19 04:10:33.261511,1
AMBP,NYSE,XNYS,Ardagh Metal Packaging S.A. Ordinary Shares,USD,Common Stock,597699586,2025-10-19 04:10:33.688543,1
AMC,NYSE,XNYS,"AMC Entertainment Holdings, Inc. Class A Common Stock",USD,Common Stock,512943561,2025-10-19 04:10:33.262757,1
AMBQ,NYSE,XNYS,"Ambiq Micro, Inc. Common Stock",USD,Common Stock,18235262,2025-10-19 04:10:33.258683,1
AMCR,NYSE,XNYS,Amcor plc Ordinary Shares,USD,Common Stock,2308359941,2025-10-19 04:10:33.683489,1
AME,NYSE,XNYS,"AMETEK, Inc.",USD,Common Stock,230953960,2025-10-19 04:10:33.711888,1
AMG,NYSE,XNYS,"Affiliated Managers Group, Inc. Common Stock",USD,Common Stock,28412063,2025-10-19 04:10:33.690889,1
AMH,NYSE,XNYS,American Homes 4 Rent Common Shares of Beneficial Interest,USD,Common Stock,370275288,2025-10-19 04:10:33.681617,1
AMN,NYSE,XNYS,AMN Healthcare Services Inc,USD,Common Stock,38324255,2025-10-19 04:10:34.184721,1
AMP,NYSE,XNYS,"Ameriprise Financial, Inc. Common Stock",USD,Common Stock,94271565,2025-10-19 04:10:34.186418,1
AMPX,NYSE,XNYS,"Amprius Technologies, Inc. Common Stock",USD,Common Stock,125075837,2025-10-19 04:10:34.185495,1
AMPY,NYSE,XNYS,Amplify Energy Corp. Common Stock,USD,Common Stock,40466053,2025-10-19 04:10:34.189642,1
AMR,NYSE,XNYS,"Alpha Metallurgical Resources, Inc. Common Stock",USD,Common Stock,13053823,2025-10-19 04:10:34.317531,1
AMRC,NYSE,XNYS,"Ameresco, Inc. Class A Common Stock",USD,Common Stock,34703659,2025-10-19 04:10:34.325257,1
AMRZ,NYSE,XNYS,Amrize Ltd Ordinary Shares,USD,Common Stock,553082069,2025-10-19 04:10:34.318406,1
AMT,NYSE,XNYS,American Tower Corporation (REIT) Common Stock,USD,Common Stock,468251225,2025-10-19 04:10:34.329291,1
AMTB,NYSE,XNYS,Amerant Bancorp Inc. Class A Common Stock,USD,Common Stock,41952590,2025-10-19 04:10:34.433382,1
AMTD,NYSE,XNYS,"AMTD IDEA Group American Depositary Shares, each representing six (6) Class A Ordinary Shares",USD,Common Stock,42487253,2025-10-19 04:10:34.440991,1
AMTM,NYSE,XNYS,"Amentum Holdings, Inc. Common Stock",USD,Common Stock,243328645,2025-10-19 04:10:34.444324,1
AMWL,NYSE,XNYS,American Well Corporation Class A Common Stock,USD,Common Stock,14504796,2025-10-19 04:10:34.752000,1
AMX,NYSE,XNYS,"America Movil, S.A.B. de C.V. American Depositary Shares (each representing the right to receive twenty (20) Series B Shares",USD,Common Stock,3015600000,2025-10-19 04:10:34.787071,1
AN,NYSE,XNYS,"AutoNation, Inc. Common Stock",USD,Common Stock,37706017,2025-10-19 04:10:34.756865,1
ANET,NYSE,XNYS,"Arista Networks, Inc. Common Stock",USD,Common Stock,1256865381,2025-10-19 04:10:34.763160,1
ANF,NYSE,XNYS,Abercrombie & Fitch Company Common Stock,USD,Common Stock,47069818,2025-10-19 04:10:34.758877,1
ANRO,NYSE,XNYS,"Alto Neuroscience, Inc. Common Stock",USD,Common Stock,27076629,2025-10-19 04:10:34.880159,1
